distance_m,x_m,y_m,height_m
43.875976,-2.975000,-2.975000,-0.167095444
43.996184,-2.890000,-2.890000,-0.148936518
44.116392,-2.805000,-2.805000,-0.131298123
44.236600,-2.720000,-2.720000,-0.114243814
44.356808,-2.635000,-2.635000,-0.097856930
44.477017,-2.550000,-2.550000,-0.082209556
44.597225,-2.465000,-2.465000,-0.067362249
44.717433,-2.380000,-2.380000,-0.053363887
44.837641,-2.295000,-2.295000,-0.040251642
44.957849,-2.210000,-2.210000,-0.028051090
45.078057,-2.125000,-2.125000,-0.016776434
45.198265,-2.040000,-2.040000,-0.006430866
45.318474,-1.955000,-1.955000,0.002992964
45.438682,-1.870000,-1.870000,0.011455364
45.558890,-1.785000,-1.785000,0.019019493
45.679098,-1.700000,-1.700000,0.025742780
45.799306,-1.615000,-1.615000,0.031668683
45.919514,-1.530000,-1.530000,0.036847169
46.039723,-1.445000,-1.445000,0.041333701
46.159931,-1.360000,-1.360000,0.045188193
46.280139,-1.275000,-1.275000,0.048473941
46.400347,-1.190000,-1.190000,0.051256555
46.520555,-1.105000,-1.105000,0.053602909
46.640763,-1.020000,-1.020000,0.055580124
46.760971,-0.935000,-0.935000,0.057233031
46.881180,-0.850000,-0.850000,0.058613272
47.001388,-0.765000,-0.765000,0.059822285
47.121596,-0.680000,-0.680000,0.060919136
47.241804,-0.595000,-0.595000,0.061959134
47.362012,-0.510000,-0.510000,0.062993380
47.482220,-0.425000,-0.425000,0.064068436
47.602429,-0.340000,-0.340000,0.065226122
47.722637,-0.255000,-0.255000,0.066503425
